tweet title,sentiment
rt isedca do the words efficiency and innovation get you fired up how about imaging and accessibility this just in two new isc,Positive
are you working on making builtenvironment or public spaces workplace parks and public transportation more accessible for persons with disabilities you could get funding for your research project apply by february 28 accessiblecanada httpstcoriaacteyjn,Positive
crazybat for more information about accessible standards canada and its annual public meeting please visit this webpage on httpstcotewzdgkdka,Positive
for more information about accessible standards canada and its annual public meeting please visit this web page on httpstcotewzdgkdka,Positive
don t miss communicate collaborate celebrate accessibility standards canada s first public meeting amp official launch on april 6 in toronto meet amp engage with the board of directors register now accessiblecanada communicatecollaboratecelebrate,Positive
will your research project make a mark in the field of accessible communications you could be eligible for a grant or contribution accessiblecanada,Positive
rt tbscanada check out govcanhealth s mae johnson interview by yazminelaroche in our first video from the my accessible gc series,Positive
it s whitecaneweek an opportunity to raise awareness of the barriers and challenges facing canadians with visual impairments and celebrate their incredible abilities accessiblecanada,Positive
are you working on innovative projects to improve accessibility standards in s indigenouscommunities if so you may benefit from the advancing accessibility standards research program apply for funding by february 28,Positive
disability inclusion and awareness matters dyk the goc is investing 50 million over years to support the implementation of s first national dementia strategy alzheimersawarenessmonth accessiblecanada,Positive
the new advancing accessibility standards research program will fund innovative projects on accessibility standards under 6 priority areas find out if your organization qualifies accessiblecanada,Positive
does your organization conduct research to improve accessibility standards in you could receive funding from the new advancing accessibility standards research program apply by february 28 httpstcotynvdxvuyh accessiblecanada,Positive
worldbrailleday reminds us that literature should be accessible to everyone dyk federal budget 2019 invested 228 million to help s independent book publishing industry create books in accessible formats accessiblecanada httpstcoajwjyezsdq,Positive
rt ctagc dyk ctagc has a confidential tollfree accessibility help line about dispute resolution services linked to accessible,Positive
dyk that thenfb offers a selection of shorts and movies that feature persons with disabilities check them out,Positive
rt statcaneng in 2017 32 of firstnations people living off reserve 30 of métis and 19 of inuit had one or more disabilities,Positive
disability rights are human rights with the accessible canada act the government of aims to be a leader in disability inclusion humanrightsday accessiblecanada,Positive
together we can help promote the full participation and leadership of persons with disabilities minister qualtrough celebrated with stakeholders from across accessiblecanada,Positive
changing mindsets is key to building a more equitable society min qualtrough spoke to federal public servants about the implementation of the accessible canada act which is at the heart of the gc s commitment to creating a truly accessible canada,Positive
rt pspcspac do you see a building lit up purple take a picture and tag us we are happy to participate once again in the,Positive
building on the momentum behind the accessible canada act this year s event centres on the theme the future is accessible join the webcast,Positive
find out how the registered disability savings plan helps canadians with severe and prolonged disabilities save for their future learn more,Positive
women with disabilities are significantly more likely to experience violence then women without to learn more read the report idevaw dawnrafhcanada report,Positive
cool talking to children about disabilities is one way to increase awareness and strengthen the importance of accessibility in society accessiblecanada httpstcoutkidoyvqc,Positive
rt canadianpm watch live cabinet ministers are sworn in during a ceremony at rideauhall in ottawa httpstcoakjrjychha,Positive
rt gcindigenous learn more about jordan s principle,Positive
check out this innovative series taking us into the lives of young canadians as they break down the misconceptions amp stereotypes of living with a disability accessiblecanada,Positive
can your organization find innovative approaches to improve the lives of canadians with disabilities living in or near poverty learn more,Positive
how cool is this thanks to funding from the accessible technology program the accessnow app helps persons with disabilities locate accessible public spaces restaurants and businesses,Positive
wheels hi julian thanks for your question the funding from the enabling accessibility fund is indeed dedicated to making the centre accessible for persons with disabilities with features such as access ramps automatic door openers accessible washrooms and an elevator,Positive
interested in providing meaningful leadership experience to young canadians with disabilities find out how httpstcoxeziecbfbm,Positive
today the goc released its what we ve learned report from the building an inclusive canada national disability summit let s work together to realize a fully accessible and inclusive,Positive
in your words why is accessibility key to a fully inclusive according to the canadian survey on disability results approximately 22 of the population has one or more disabilities,Positive
thanks to approved funding of 350000 from the enabling accessibility fund the prince edward island urban indigenous centre will be accessible to all accessiblecanada,Positive
bon appétit stump kitchen host alexis hangs out with kids as they cook delicious vegan food and talk about what it s like living with a limb difference limbdifference,Positive
this is great news for the 28 of persons with severe disabilities who live in poverty according to the 2017 canadian survey on disability,Positive
eaf youth leader taryn walker helped make the theatre in her community more accessible by adding a ramp nice work taryn accessiblecanada,Positive
a major milestone for disability rights was achieved on july 11 2019 the accessiblecanada act came into force,Positive
the inaugural canadian accessibility standards development organization casdo now has a chief executive officer and a board of directors learn more about the appointments httpstcomavzuqgyui accessiblecanadaact,Positive
rt electionscane new on our website learn about the accessible voting tools and services we ll be offering for the 2019 federal,Positive
eaf youth leader sam hunt teamed up with thecollabspace to make their entrance more accessible want to make a difference help build a more accessiblecanada,Positive
how cool is this persons with disabilities can now use an interactive map to locate accessible public spaces restaurants and businesses nearby,Positive
accessibility requires a cultural shift in the way organizations conduct business during a townhall at tdcanada ministerpwd discussed how employers can be leaders of inclusion by embracing the accessiblecanada act and eliminating barriers for their employees and clients,Positive
rt isedca thanks to the goc s investment more canadians with disabilities will get the digital tools they need to fully participate,Positive
rt socdevsoc today is the last day of the canada volunteerawards call for nominations don t wait nominate an exceptional person,Positive
announced today the goc provided support for 141 projects under the enabling accessibility fund one of which is being led by the résidences de la gappe which will build a multisensory therapeutic room offering a safe environment for people with dementia,Positive
thanks to the hard work of eaf youth leader karina scali oakparknc has a renovated ramp want to make your neighbourhood more accessible become an eaf youth leader,Positive
dyk that under the accessible canada act accessibility standards will be developed for 7 key priority areas httpstcouteicnpkdt,Positive
even a small change can have a large positive impact on persons facing barriers to accessibility eaf youth leader katie verge facilitated the installation of a hearing loop system that helps hard of hearing church members get the full experience httpstcofkauuicaud,Positive
rochelle prasad did her part to create a better learning environment for everyone by working with sas she provided noisecancelling headphones to students who experience sensory challenges in surrey bc can you make your community more inclusive,Positive
thanks in part to the eaf youth component youth accessibility leader liliana paroski worked with rowswimming to get funding for accessible swim technologies you can gain valuable experience and make a difference in your community too apply today httpstcogkckosrosq,Positive
are you a young canadian between 15 and 30 who is passionate about making s public spaces more accessible for persons with disabilities if so apply to become a youth accessibility leader via the goc s enabling accessibility fund,Positive
the accessible canada act has received royal assent this important milestone brings us closer to the ultimate goal a barrierfree where everyone is treated with the dignity they deserve accessiblecanada,Positive
live watch the full ceremony in the senate during which the accessible canada act will receive royal assent link to the broadcast here accessiblecanada,Positive
young canadians are you between 15 and 30 and want to make a difference in your community we are looking for youth leaders to help build a more accessiblecanada so that everyone can have access to equal opportunities apply by october 31,Positive
during the conference of states parties to the un convention on the rights of persons with disabilities the goc reaffirmed its commitment to persons with disabilities and worked with international partners to build a more inclusive society,Positive
rt socdevsoc nominate a dedicated volunteer for canada s volunteerawards and help to celebrate amazing people who are giving their,Positive
we need more women with disabilities in leadership roles so that our workplaces and communities are reflective of canada s diversity ministerpwd during a meeting on women with disabilities in political leadership towards beijing 25 accessiblecanada crpd,Positive
watch live as ministerpwd speaks about the inclusion of persons with disabilities in society through participation in cultural life recreation leisure and sport at the accessiblecanada crpd,Positive
on the opening day of the un conference of states parties ministerpwd reaffirmed s commitment to collaboration with international partners towards creating a more inclusive society watch the meeting here accessiblecanada crpd,Positive
hey young canadians through the enabling accessibility fund the goc is looking for youth leaders who want to get involved in their community to help build a more accessible apply by october 31 2019,Positive
today viarail unveiled design plans for their new accessible railcars making an accessiblecanada includes making transportation accessible,Positive
we experienced technical difficulties during the live broadcast of the launch of canada s first public service accessibility strategy watch the full video here with asl lsq and closed captioning options,Positive
today ministerpwd spoke at cdnclubottawa about accessibility and how the upcoming accessible canada act will support the economic and social inclusion of persons disabilities accessiblecanada httpstconoudpolnkz,Positive
inclusion and accessability benefit society as a whole but don t just take our word for it check out this interview with kathy and emma,Positive
neilsquiresoc gives persons with disabilities opportunities to develop employment and computer skills the goc supports neilsquiresoc to give everyone an opportunity to contribute find jobs and live independent lives httpstcoshnkxyjqej,Positive
today ministerpwd participated in the chhaamec conference and trade show and spoke about how bill will support the economic and social inclusion of persons living with hearing disabilities accessability,Positive
more than 60 organizations in québec are receiving goc support through the enabling accessibility fund for communitybased projects aimed at safer easier access to our public spaces and workplaces accessability,Positive
digital content and technologies that are accessible to all play an important role in the full inclusion of persons with disabilities an accessiblecanada means breaking barriers in the real and online worlds,Positive
throwback to luca lazylegz patuelli performing at s first youth summit despite facing physical challenges his dancing continues to inspire youth with disabilities and individuals across to come together and share their passions accessability,Positive
in celebration of national accessability week ministerpwd was at ocad to announce several initiatives for young canadians to support them in their efforts to build a more accessiblecanada for persons with disabilities,Positive
rt pspcspac mélanie is working towards making the right tools available so everyone can achieve their highest potential see how,Positive
rt liveworkplay what a great celebration of our partnership with the federal public service for employment of people with intellectual,Positive
investing in programs that benefit persons with autism and intellectual disabilities means investing in our communities by providing support to employers and programs like rwaworks the goc is helping businesses find talent that was previously overlooked,Positive
live ministerpwd and yazmine laroche deputy minister of public service accessibility announce s accessibility strategy for the public service,Positive
tune in today at live on facebook for the launch of s first public service accessibility strategy httpstcopkkjingbmt httpstcoiflmejmeaj,Positive
tune in live tomorrow at 1130 am on facebook for the launch of canada s first public service accessibility strategy here httpstcobulqahfcuk,Positive
find out how the government supports notforprofit organizations that tackle barriers to social inclusion faced by persons with disabilities accessability accessiblecanada httpstcoojraenqeug,Positive
meet some of the people who are actively removing barriers giving canadians of all abilities a better chance to succeed accessability accessiblecanada,Positive
thank you to everyone who made first national disability summit a success shared thoughts and reflections will help shape actions towards a stronger and inclusive canada,Positive
highlight celebrate and promote accessibility in your region by attending one of the many events taking place across the country accessability accessiblecanada httpstcocbszjvktmp,Positive
the past two days at the national disability summit has allowed the accessibility community to share challenges explore opportunities and work together to build momentum for an accessible and inclusive canada,Positive
a few more moments from the final day at the national disability summit accessiblecanada,Positive
day of the national disability summit has started we are harnessing opportunities for social inclusion and accessibility accessiblecanada,Positive
thanks for following day of the national disability summit together we can build a stronger and more inclusive see you tomorrow accessiblecanada,Positive
great discussions took place on creating a culture of inclusiveness and exploring new opportunities for the full participation of persons with disabilities accessiblecanada,Positive
the first national disability summit is underway accessiblecanada,Positive
the goc is proud to host s first national disability summit in ottawa this thursday and friday check back here for live updates accessiblecanada httpstcolkophsuvgt,Positive
are you getting ready to celebrate accessability week or maybe you would like to highlight and promote accessibility and inclusion in canada httpstcoztfaddwudp accessiblecanada,Positive
today marks the beginning of mentalhealth week when we are encouraged to getloud about what mental health really means the more we talk about it the closer we get to creating a stigma and barrierfree canada where everyone can feel like they belong and are fully included,Positive
young canadians partnered with organizations to submit accessibility amp inclusion project the youth innovation component of the enabling accessibility fund successful projects will be announced later in may accessiblecanada,Positive
4 days left apply to be canada s first proposed chief accessibility officer deadline is april 29 2019 httpstcojxgkjbvlov accessiblecanada,Positive
today at uofregina ministerpwd with minister goodale announced over in goc funding for 14 organizations across this funding will support projects like the university s accessible renovation of its darke hall building accessiblecanada,Positive
today in saskatoon ministerpwd met with provincial and territorial ministers responsible for socialservices to discuss accessibility support for persons with disabilities and how they can collaborate further to create a more inclusive canada accessiblecanada,Positive
today in toronto ministerpwd participated in a town hall on accessibility and toured a fully accessible servicecanadae flagship centre accessiblecanada,Positive
deadline extended to april 29 apply to be canada s first proposed chief accessibility officer deadline is april 29 2019 accessiblecanada,Positive
the 2017 canadian survey on disabilities provides a demographic employment and income profile of canadians with disabilities find out useful statistics at accessiblecanada,Positive
deadline extended to april 29 apply to be canada s first proposed chief accessibility officer deadline is april 29 2019 httpstcojceygatdlf accessiblecanada,Positive
today in winnipeg ministerpwd visited cmhrnews to announce that 28 organizations across will benefit from goc funding that will support the full participation and inclusion of persons with disabilities in all aspects of canadian society httpstcovnwkbbefwj,Positive
7 days left the goc is still accepting applications for canada s first proposed chief accessibility officer deadline is april 15 2019 accessiblecanada httpstcourxnwsbjjv,Positive
today at 415 pm watch ministerpwd speak about bill the proposed accessible canada act before the senate committee on social affairs science and technology accessiblecanada httpstcotxczmsrlzo,Positive
